,country,Lat,Long_,confirmed,deaths,recovered,active,mortality,ISO3
109,Mali,17.570692,-3.996166000000001,5135.0,164.0,3369.0,1602.0,3.1937682570593964,MLI
110,Malta,35.9375,14.3754,10520.0,151.0,8396.0,1973.0,1.4353612167300382,MLT
111,Marshall Islands,7.1315,171.1845,4.0,0.0,4.0,0.0,0.0,MHL
112,Mauritania,21.0079,-10.9408,9516.0,188.0,7849.0,1479.0,1.9756200084068936,MRT
113,Mauritius,-20.348404,57.552152,508.0,10.0,465.0,33.0,1.9685039370078738,MUS
114,Mexico,23.6345,-102.5528,1175850.0,109717.0,866186.0,199947.0,9.330867032359567,MEX
115,Moldova,47.4116,28.3699,116365.0,2419.0,101244.0,12702.0,2.0788037640183905,MDA
116,Monaco,43.7333,7.4167,638.0,3.0,574.0,61.0,0.4702194357366771,MCO
117,Mongolia,46.8625,103.8467,887.0,0.0,384.0,503.0,0.0,MNG
118,Montenegro,42.708678000000006,19.37439,38246.0,533.0,26999.0,10714.0,1.3936097892590076,MNE
119,Morocco,31.7917,-7.0926,379657.0,6245.0,331301.0,42111.0,1.6449057965479368,MAR
120,Mozambique,-18.665695,35.529562,16244.0,133.0,14416.0,1695.0,0.8187638512681605,MOZ
121,Namibia,-22.9576,18.4904,15078.0,152.0,13939.0,987.0,1.0080912587876376,NAM
122,Nepal,28.1667,84.25,240981.0,1594.0,225805.0,13582.0,0.6614629369120387,NPL
123,Netherlands,52.3167,5.55,566628.0,9768.0,7300.0,549560.0,1.7238823355005402,NLD
124,New Zealand,-40.9006,174.886,2079.0,25.0,1998.0,56.0,1.2025012025012023,NZL
125,Nicaragua,12.865416,-85.207229,5838.0,161.0,4225.0,1452.0,2.7577937649880098,NIC
126,Niger,17.607789,8.081666,1856.0,77.0,1237.0,542.0,4.148706896551723,NER
127,Nigeria,9.082,8.6753,69255.0,1180.0,64774.0,3301.0,1.7038480976102808,NGA
128,North Macedonia,41.6086,21.7453,67968.0,1924.0,43646.0,22398.0,2.8307438794726933,MKD
